Παραστατικό;Σειρά;Ημερομηνία;Λήξη;Πελάτης;ΑΦΜ;Τρόπος πληρωμής;Περιγραφή;Ποσότητα;Τιμή;Έκπτωση;ΦΠΑ;Κωδικός;Σημειώσεις
3487;ΤΠΥ;22/07/2024;22/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3488;ΤΠΥ;22/07/2024;22/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3489;ΤΠΥ;22/07/2024;22/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3490;ΤΠΥ;23/07/2024;23/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3491;ΤΠΥ;23/07/2024;23/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
3492;ΤΠΥ;25/07/2024;25/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
3493;ΤΠΥ;26/07/2024;26/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3494;ΤΠΥ;26/07/2024;26/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
3495;ΤΠΥ;26/07/2024;26/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3496;ΤΠΥ;27/07/2024;27/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3497;ΤΠΥ;28/07/2024;28/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3498;ΤΠΥ;29/07/2024;29/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3499;ΤΠΥ;29/07/2024;29/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3500;ΤΠΥ;30/07/2024;30/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3501;ΤΠΥ;30/07/2024;30/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
3502;ΤΠΥ;30/07/2024;30/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
3503;ΤΠΥ;31/07/2024;31/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3504;ΤΠΥ;01/07/2024;01/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3505;ΤΠΥ;01/07/2024;01/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3506;ΤΠΥ;02/07/2024;02/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
3507;ΤΠΥ;02/07/2024;02/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3508;ΤΠΥ;03/07/2024;03/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
3509;ΤΠΥ;03/07/2024;03/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3510;ΤΠΥ;03/07/2024;03/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
3511;ΤΠΥ;04/07/2024;04/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
3512;ΤΠΥ;05/07/2024;05/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3513;ΤΠΥ;06/07/2024;06/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3514;ΤΠΥ;06/07/2024;06/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
3515;ΤΠΥ;07/07/2024;07/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
3516;ΤΠΥ;08/07/2024;08/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3517;ΤΠΥ;08/07/2024;08/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3518;ΤΠΥ;09/07/2024;09/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3519;ΤΠΥ;09/07/2024;09/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
3520;ΤΠΥ;11/07/2024;11/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3521;ΤΠΥ;11/07/2024;11/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
3522;ΤΠΥ;11/07/2024;11/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3523;ΤΠΥ;12/07/2024;12/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3524;ΤΠΥ;13/07/2024;13/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
3525;ΤΠΥ;13/07/2024;13/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3526;ΤΠΥ;14/07/2024;14/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3527;ΤΠΥ;14/07/2024;14/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
3528;ΤΠΥ;15/07/2024;15/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
3529;ΤΠΥ;16/07/2024;16/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
3530;ΤΠΥ;16/07/2024;16/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3531;ΤΠΥ;16/07/2024;16/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3532;ΤΠΥ;17/07/2024;17/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3533;ΤΠΥ;18/07/2024;18/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3534;ΤΠΥ;18/07/2024;18/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3535;ΤΠΥ;18/07/2024;18/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3536;ΤΠΥ;19/07/2024;19/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
3537;ΤΠΥ;19/07/2024;19/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3538;ΤΠΥ;19/07/2024;19/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3539;ΤΠΥ;20/07/2024;20/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
3540;ΤΠΥ;21/07/2024;21/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3541;ΤΠΥ;22/07/2024;22/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3542;ΤΠΥ;22/07/2024;22/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3543;ΤΠΥ;23/07/2024;23/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3544;ΤΠΥ;24/07/2024;24/07/2024;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
